101 | AULA | Aula Magna | 100 | DISPONIBLE | AMBOS
102 | CANCHA | Cancha Futbol | 22 | RESERVADO | ESTUDIANTE
103 | LABORATORIO | Lab Computación | 30 | DISPONIBLE | PROFESOR
104 | AUDITORIO | Auditorio Central | 200 | RESERVADO | PROFESOR
105 | AULA | Aula 101 | 50 | DISPONIBLE | AMBOS
106 | CANCHA | Cancha Tenis | 4 | DISPONIBLE | ESTUDIANTE
107 | LABORATORIO | Lab Química | 20 | RESERVADO | PROFESOR
108 | AUDITORIO | Auditorio Pequeño | 50 | DISPONIBLE | PROFESOR
109 | AULA | Aula 202 | 60 | RESERVADO | AMBOS
110 | CANCHA | Cancha Baloncesto | 10 | DISPONIBLE | ESTUDIANTE
111 | LABORATORIO | Lab Física | 15 | DISPONIBLE | PROFESOR
112 | AUDITORIO | Auditorio Este | 150 | RESERVADO | PROFESOR
113 | AULA | Aula 303 | 45 | DISPONIBLE | AMBOS
114 | CANCHA | Cancha Voleibol | 6 | RESERVADO | ESTUDIANTE
115 | LABORATORIO | Lab Biología | 25 | DISPONIBLE | PROFESOR
116 | AUDITORIO | Auditorio Oeste | 120 | DISPONIBLE | PROFESOR
117 | AULA | Aula 404 | 40 | RESERVADO | AMBOS
118 | CANCHA | Cancha Hockey | 20 | DISPONIBLE | ESTUDIANTE
119 | LABORATORIO | Lab Electrónica | 35 | RESERVADO | PROFESOR
120 | AUDITORIO | Auditorio Norte | 180 | DISPONIBLE | PROFESOR
